0,1,2,3
66.0,67.0,2.690121783359867,2.0
175.0,515.0,2.707215418381317,2.0
409.0,410.0,2.710981864789795,2.0
826.0,828.0,2.7419332192918504,2.0
611.0,631.0,2.7524913196400185,2.0
518.0,521.0,2.7568189941288046,2.0
852.0,961.0,2.76746761245345,3.0
605.0,962.0,2.7894941875451944,3.0
720.0,742.0,2.794401655167871,2.0
413.0,425.0,2.797151578192184,2.0
546.0,548.0,2.820298749616498,2.0
8.0,21.0,2.822412653854738,2.0
223.0,235.0,2.823477682108266,2.0
660.0,678.0,2.8246493459247812,2.0
3.0,25.0,2.8322337979475822,2.0
491.0,504.0,2.8405747943566793,2.0
775.0,781.0,2.8467998585607606,2.0
211.0,225.0,2.860666494113384,2.0
657.0,686.0,2.8932616070554493,2.0
776.0,782.0,2.9091111334754562,2.0
812.0,1017.0,2.921219585727645,3.0
171.0,1047.0,2.924222215117485,3.0
155.0,173.0,2.925059513236128,2.0
275.0,346.0,2.9290915561995714,2.0
798.0,1026.0,2.9398593092303775,3.0
692.0,707.0,2.941064520729936,2.0
273.0,340.0,2.9440232121199514,2.0
434.0,857.0,2.945937698626091,2.0
894.0,898.0,2.947431809743141,2.0
723.0,738.0,2.948833691332078,2.0
89.0,141.0,2.949673898239856,2.0
0.0,98.0,2.951769253308259,2.0
739.0,747.0,2.9541581280301354,2.0
779.0,931.0,2.9617538738721745,2.0
274.0,281.0,2.963099633783209,2.0
531.0,560.0,2.968836321527792,2.0
389.0,401.0,2.985393960943648,2.0
687.0,982.0,3.0029604148396123,3.0
289.0,301.0,3.0069687058785206,2.0
913.0,925.0,3.0090741618726207,2.0
866.0,886.0,3.0097062149100746,2.0
619.0,632.0,3.0323560920694903,2.0
936.0,937.0,3.041719929113587,2.0
726.0,741.0,3.0707755108981387,2.0
224.0,238.0,3.0711044241347154,2.0
524.0,740.0,3.082559521915787,2.0
35.0,43.0,3.086042320020582,2.0
861.0,881.0,3.11246438221275,2.0
625.0,629.0,3.1179524186070484,2.0
254.0,331.0,3.130009285356944,2.0
276.0,291.0,3.131018719592819,2.0
479.0,665.0,3.170653121489046,2.0
645.0,648.0,3.190698007862134,2.0
65.0,950.0,3.191005161808045,2.0
433.0,438.0,3.2178992471351484,2.0
424.0,954.0,3.2280781860604026,2.0
408.0,411.0,3.2292070979548013,2.0
832.0,843.0,3.247200263268066,2.0
755.0,758.0,3.248982354862819,2.0
867.0,895.0,3.2541947511280664,2.0
673.0,953.0,3.255747631904578,2.0
458.0,470.0,3.256302716377939,2.0
653.0,676.0,3.258484019535739,2.0
290.0,300.0,3.2646545520181505,2.0
101.0,105.0,3.2669144402017336,2.0
928.0,1002.0,3.269389054990426,3.0
635.0,977.0,3.289536671529202,3.0
769.0,918.0,3.2903468873315895,2.0
975.0,1008.0,3.3003341166648,4.0
710.0,743.0,3.3036204159079396,2.0
671.0,680.0,3.309520702448419,2.0
929.0,933.0,3.3101070995236967,2.0
372.0,377.0,3.3223194640350644,2.0
46.0,69.0,3.323105150913042,2.0
33.0,47.0,3.327818372453152,2.0
10.0,16.0,3.336360760826645,2.0
354.0,366.0,3.3381114638512774,2.0
767.0,1065.0,3.3433914054414697,3.0
969.0,999.0,3.35014665129262,4.0
210.0,237.0,3.3506684326331455,2.0
56.0,82.0,3.360185181929797,2.0
771.0,780.0,3.3656488833341522,2.0
618.0,909.0,3.373781137029086,2.0
12.0,14.0,3.403484582946967,2.0
663.0,666.0,3.41026540414521,2.0
417.0,957.0,3.4112508383113065,2.0
598.0,617.0,3.411823982114859,2.0
436.0,457.0,3.413151891132371,2.0
288.0,311.0,3.4132902799585048,2.0
308.0,352.0,3.413817390262322,2.0
207.0,415.0,3.4236389863404817,2.0
106.0,136.0,3.4248929294915147,2.0
156.0,912.0,3.4334167139005105,2.0
213.0,239.0,3.4489533019568377,2.0
525.0,542.0,3.4515024140393153,2.0
20.0,80.0,3.454687899561119,2.0
353.0,369.0,3.455457900815641,2.0
355.0,359.0,3.4557164169085177,2.0
970.0,1029.0,3.456468846780868,4.0
862.0,1020.0,3.4574284922144396,4.0
505.0,522.0,3.4700292385984546,2.0
