Component,Explained_Variance,Explained_Variance_Ratio,Cumulative_Variance_Ratio
PC520,0.047958418474349146,5.004076112897352e-05,0.9927928177905871
PC521,0.04759188417679939,4.9658312002985904e-05,0.9928424761025901
PC522,0.047325526846142926,4.9380389502988116e-05,0.9928918564920931
PC523,0.04670122119529139,4.872897665536806e-05,0.9929405854687485
PC524,0.0465540777760855,4.8575444305336115e-05,0.9929891609130539
PC525,0.046070658392858364,4.807103497219425e-05,0.9930372319480261
PC526,0.04595474159624599,4.795008509697645e-05,0.993085182033123
PC527,0.045824227656282565,4.781390427405786e-05,0.9931329959373971
PC528,0.045557989534695004,4.753610615915723e-05,0.9931805320435563
PC529,0.04519674296581754,4.71591743537115e-05,0.99322769121791
PC530,0.045123718116542665,4.7082978783563626e-05,0.9932747741966935
PC531,0.044846573982667906,4.679380112002285e-05,0.9933215679978136
PC532,0.04471550358322487,4.665703967629183e-05,0.9933682250374899
PC533,0.04420426401638691,4.612360221405564e-05,0.9934143486397039
PC534,0.044077421883865764,4.599125262754926e-05,0.9934603398923314
PC535,0.04388504955568349,4.579052754051281e-05,0.9935061304198719
PC536,0.04290295847414857,4.4765794307404446e-05,0.9935508962141794
PC537,0.04263882878576798,4.449019617335854e-05,0.9935953864103527
PC538,0.042557733538934564,4.4405579790988534e-05,0.9936397919901437
PC539,0.04223506759001649,4.406890376646744e-05,0.9936838608939103
PC540,0.0419967921729619,4.382028248980644e-05,0.9937276811764001
PC541,0.0419460152044926,4.376730079793967e-05,0.993771448477198
PC542,0.04172994608911042,4.354185001507093e-05,0.9938149903272131
PC543,0.041267616390628384,4.305944607556355e-05,0.9938580497732886
PC544,0.04119879014457182,4.298763141094606e-05,0.9939010374046996
PC545,0.04082129424831435,4.259374473634916e-05,0.993943631149436
PC546,0.04048747043726024,4.224542637808101e-05,0.993985876575814
PC547,0.04042425930695397,4.217947063614927e-05,0.9940280560464502
PC548,0.04019452814649215,4.1939764605586554e-05,0.9940699958110557
PC549,0.040111945471413474,4.18535962112052e-05,0.9941118494072669
PC550,0.03971498267009634,4.143939738335137e-05,0.9941532888046503
PC551,0.03952233279775506,4.123838270125727e-05,0.9941945271873515
PC552,0.039361749231090516,4.107082663589208e-05,0.9942355980139873
PC553,0.03914172227523172,4.084124616409329e-05,0.9942764392601514
PC554,0.03894710980742603,4.0638183671125685e-05,0.9943170774438226
PC555,0.03827650149117562,3.993845770784067e-05,0.9943570159015305
PC556,0.03798992834670643,3.9639441628400277e-05,0.9943966553431589
PC557,0.037914529496294154,3.956076897857347e-05,0.9944362161121375
PC558,0.037861723683484075,3.950567035044703e-05,0.994475721782488
